,Country,"Density
(P/Km2)",Abbreviation,Agricultural Land( %),Land Area(Km2),Armed Forces size,Birth Rate,Calling Code,Capital/Major City,Co2-Emissions,CPI,CPI Change (%),Currency-Code,Fertility Rate,Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Iso3_code,Region,Subregion,Indicator,Dimension,Category,Sex,Age,Year,Unit of measurement,txtVALUE,Source
12557,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Child,2019,Counts,7.0,GLOTIP
12558,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Adult,2019,Counts,139.0,GLOTIP
12559,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Child,2019,Counts,7.0,GLOTIP
12560,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Adult,2019,Counts,76.0,GLOTIP
12561,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Adult,2019,Counts,3.0,GLOTIP
12562,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Child,2019,Counts,14.0,GLOTIP
12563,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Adult,2019,Counts,215.0,GLOTIP
12564,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Total,2019,Counts,229.0,GLOTIP
12599,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Child,2020,Counts,3.0,GLOTIP
12600,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Adult,2020,Counts,3.0,GLOTIP
12601,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Unknown,Unknown,2020,Counts,3.0,GLOTIP
12604,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Child,2020,Counts,3.0,GLOTIP
12605,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Adult,2020,Counts,131.0,GLOTIP
12606,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Child,2020,Counts,6.0,GLOTIP
12607,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Adult,2020,Counts,106.0,GLOTIP
12608,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Child,2020,Counts,10.0,GLOTIP
12609,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Adult,2020,Counts,237.0,GLOTIP
12610,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Total,2020,Counts,247.0,GLOTIP
12661,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Child,2021,Counts,11.0,GLOTIP
12662,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Adult,2021,Counts,136.0,GLOTIP
12663,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Child,2021,Counts,17.0,GLOTIP
12664,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Adult,2021,Counts,79.0,GLOTIP
12665,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Child,2021,Counts,3.0,GLOTIP
12666,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Adult,2021,Counts,3.0,GLOTIP
12667,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Child,2021,Counts,28.0,GLOTIP
12668,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Adult,2021,Counts,215.0,GLOTIP
12669,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Total,Total,2021,Counts,243.0,GLOTIP
12670,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Unknown,Unknown,2021,Counts,3.0,GLOTIP
12673,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2007,Counts,3.0,GLOTIP
12674,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2007,Counts,3.0,GLOTIP
12675,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2008,Counts,10.0,GLOTIP
12676,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2008,Counts,6.0,GLOTIP
12677,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2009,Counts,13.0,GLOTIP
12678,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2009,Counts,3.0,GLOTIP
12679,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2010,Counts,31.0,GLOTIP
12680,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2010,Counts,17.0,GLOTIP
12681,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2011,Counts,28.0,GLOTIP
12682,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2011,Counts,23.0,GLOTIP
12683,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2012,Counts,28.0,GLOTIP
12684,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2012,Counts,25.0,GLOTIP
12685,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2012,Counts,3.0,GLOTIP
12686,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2013,Counts,37.0,GLOTIP
12687,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2013,Counts,19.0,GLOTIP
12688,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2013,Counts,3.0,GLOTIP
12689,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2014,Counts,39.0,GLOTIP
12690,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2014,Counts,11.0,GLOTIP
12691,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2014,Counts,3.0,GLOTIP
12692,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2015,Counts,36.0,GLOTIP
12693,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2015,Counts,16.0,GLOTIP
12694,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2015,Counts,3.0,GLOTIP
12695,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2016,Counts,86.0,GLOTIP
12696,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2016,Counts,44.0,GLOTIP
12697,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2016,Counts,3.0,GLOTIP
12698,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2017,Counts,73.0,GLOTIP
12699,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2017,Counts,58.0,GLOTIP
12700,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2017,Counts,3.0,GLOTIP
12707,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2018,Counts,87.0,GLOTIP
12708,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Male,Total,2018,Counts,76.0,GLOTIP
12709,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Other,Total,2018,Counts,3.0,GLOTIP
12716,Finland,18,FI,7.50%,"338,145","25,000",8.6,358.0,Helsinki,"45,871",112.33,1.00%,EUR,1.41,73.10%,$1.45 ,"$268,761,201,365 ",100.20%,88.20%,1.4,Helsinki,81.7,3.0,,Swedish,19.9,3.81,5520314.0,59.10%,20.80%,36.60%,6.59,"4,716,888",61.92411,25.748151,FIN,Europe,Northern Europe,Detected trafficking victims,Total,Total,Female,Total,2019,Counts,146.0,GLOTIP
